CommInsure,Floor,Content,Excess,Suncorp,Option
324.59,0,20000,200,212.66,Suncorp
280.84,1,20000,200,164.44,Suncorp
274.16,2,20000,200,155.71,Suncorp
339.19,0,22500,200,231.09,Suncorp
292.26,1,22500,200,176.1,Suncorp
285.07,2,22500,200,166.29,Suncorp
353.76,0,25000,200,248.62,Suncorp
303.66,1,25000,200,186.84,Suncorp
296.0,2,25000,200,175.92,Suncorp
368.28,0,27500,200,265.12,Suncorp
315.02,1,27500,200,196.49,Suncorp
306.88,2,27500,200,184.48,Suncorp
382.79,0,30000,200,281.34,Suncorp
326.38,1,30000,200,205.84,Suncorp
317.75,2,30000,200,192.74,Suncorp
421.71,0,37500,200,328.6,Suncorp
355.78,1,37500,200,232.43,Suncorp
345.69,2,37500,200,216.06,Suncorp
313.01,0,20000,750,194.34,Suncorp
269.27,1,20000,750,145.57,Suncorp
262.57,2,20000,750,136.9,Suncorp
327.14,0,22500,750,211.98,Suncorp
280.22,1,22500,750,156.48,Suncorp
273.05,2,22500,750,146.72,Suncorp
341.28,0,25000,750,228.83,Suncorp
291.17,1,25000,750,166.53,Suncorp
283.5,2,25000,750,155.69,Suncorp
355.34,0,27500,750,244.76,Suncorp
302.07,1,27500,750,175.64,Suncorp
293.93,2,27500,750,163.7,Suncorp
369.39,0,30000,750,260.44,Suncorp
312.99,1,30000,750,184.48,Suncorp
304.35,2,30000,750,171.46,Suncorp
407.16,0,37500,750,306.24,Suncorp
341.22,1,37500,750,209.67,Suncorp
331.14,2,37500,750,193.39,Suncorp
306.93,0,20000,1000,190.84,Suncorp
263.17,1,20000,1000,142.08,Suncorp
256.48,2,20000,1000,133.43,Suncorp
320.81,0,22500,1000,208.32,Suncorp
273.88,1,22500,1000,152.81,Suncorp
266.71,2,22500,1000,143.09,Suncorp
334.69,0,25000,1000,225.02,Suncorp
284.58,1,25000,1000,162.73,Suncorp
276.93,2,25000,1000,151.92,Suncorp
348.53,0,27500,1000,240.81,Suncorp
295.27,1,27500,1000,171.72,Suncorp
287.11,2,27500,1000,159.83,Suncorp
362.34,0,30000,1000,256.38,Suncorp
305.94,1,30000,1000,180.46,Suncorp
297.3,2,30000,1000,167.48,Suncorp
399.51,0,37500,1000,301.84,Suncorp
333.58,1,37500,1000,205.37,Suncorp
323.5,2,37500,1000,189.15,Suncorp
292.7,0,20000,2000,178.55,Suncorp
248.96,1,20000,2000,129.83,Suncorp
242.27,2,20000,2000,121.26,Suncorp
306.03,0,22500,2000,195.4,Suncorp
259.11,1,22500,2000,140.01,Suncorp
251.93,2,22500,2000,130.38,Suncorp
319.37,0,25000,2000,211.55,Suncorp
269.26,1,25000,2000,149.45,Suncorp
261.59,2,25000,2000,138.75,Suncorp
332.63,0,27500,2000,226.92,Suncorp
279.37,1,27500,2000,158.06,Suncorp
271.23,2,27500,2000,146.29,Suncorp
345.9,0,30000,2000,242.07,Suncorp
289.49,1,30000,2000,166.44,Suncorp
280.87,2,30000,2000,153.59,Suncorp
381.68,0,37500,2000,286.36,Suncorp
315.74,1,37500,2000,190.37,Suncorp
305.65,2,37500,2000,174.32,Suncorp
